Parties,Operations,Time
100,1000,734.9999232292175
100,500,427.7988717556
100,100,140.5905203819275
100,10,66.73925399780273
20,1000,142.13332223892212
20,500,74.40335154533386
20,100,23.308523893356323
20,10,7.912203311920166
10,1000,73.72417163848877
10,500,38.548948764801025
10,100,11.261781454086304
10,10,6.050782203674316
5,1000,42.65704345703125
5,500,19.373042583465576
5,100,8.154037952423096
5,10,9.155200719833374
2,1000,19.802953958511353
2,500,15.65721869468689
2,100,7.049676179885864
2,10,5.380207538604736
2,10,5.380207538604736
100,1000,886.4871308803558
100,500,400.45497012138367
100,100,175.87946319580078
100,10,94.63957929611206
20,1000,148.96282315254211
20,500,76.22185039520264
20,100,23.033679246902466
20,10,8.433608770370483
10,1000,76.0405523777008
10,500,44.060099840164185
10,100,16.59408211708069
10,10,6.219518184661865
5,1000,41.69917154312134
5,500,24.343886613845825
5,100,9.185893058776855
5,10,5.735002040863037
2,1000,26.32844853401184
2,500,13.307948112487793
2,100,6.502110481262207
2,10,8.909297704696655
100,1000,731.9893426895142
100,500,438.31521248817444
100,100,139.78704452514648
100,10,71.52910709381104
20,1000,142.61042380332947
20,500,75.52340316772461
20,100,22.782464027404785
20,10,8.032909393310547
10,1000,74.48797631263733
10,500,39.05591917037964
10,100,12.072298526763916
10,10,9.942066669464111
5,1000,41.32252287864685
5,500,20.142219305038452
5,100,11.903067588806152
5,10,5.58991003036499
2,1000,19.874916076660156
2,500,15.498585224151611
2,100,6.566728830337524
2,10,5.396034479141235
100,1000,466.91490054130554
100,500,286.9521327018738
100,100,93.75852990150452
100,10,42.916510581970215
20,1000,97.51422095298767
20,500,50.071160078048706
20,100,14.30077576637268
20,10,6.957980394363403
10,1000,48.77021670341492
10,500,25.937716484069824
10,100,9.973028898239136
10,10,5.735797166824341
5,1000,26.75484347343445
5,500,15.495224237442017
5,100,7.026667356491089
5,10,6.380110263824463
2,1000,14.18537163734436
2,500,9.665772914886475
2,100,7.055882453918457
2,10,5.1218953132629395
100,1000,499.3222846984863
100,500,269.9371964931488
100,100,90.06580257415771
100,10,41.625813484191895
20,1000,94.62657284736633
20,500,52.762349367141724
20,100,15.323750257492065
20,10,6.895547389984131
10,1000,50.48629593849182
10,500,27.679555892944336
10,100,9.469359874725342
10,10,5.851433992385864
5,1000,27.589577674865723
5,500,15.905933141708374
5,100,7.502271413803101
5,10,5.571725845336914
2,1000,15.186186790466309
2,500,10.474271297454834
2,100,6.197252988815308
2,10,5.178752422332764
100,1000,609.4141576290131
100,500,346.63766145706177
100,100,109.13831520080566
100,10,50.49259400367737
20,1000,122.56473588943481
20,500,65.7320864200592
20,100,18.7857403755188
20,10,8.097885370254517
10,1000,65.34364438056946
10,500,34.055681228637695
10,100,11.72679615020752
10,10,6.188157796859741
5,1000,34.36305093765259
5,500,19.897842407226562
5,100,8.254841566085815
5,10,5.6076061725616455
2,1000,19.94168519973755
2,500,12.094196319580078
2,100,6.572935342788696
2,10,5.369846343994141
